name,genre,year,score,votes,director,star
Outland,Action,1981,6.6,28000.0,Peter Hyams,Sean Connery
Southern Comfort,Action,1981,7.2,17000.0,Walter Hill,Keith Carradine
S.O.B.,Comedy,1981,6.4,5700.0,Blake Edwards,Julie Andrews
The Beyond,Horror,1981,6.8,21000.0,Lucio Fulci,Catriona MacColl
Ghost Story,Drama,1981,6.3,7900.0,John Irvin,Craig Wasson
My Bloody Valentine,Horror,1981,6.3,19000.0,George Mihalka,Paul Kelman
The Funhouse,Horror,1981,5.9,13000.0,Tobe Hooper,Elizabeth Berridge
One from the Heart,Drama,1981,6.5,5700.0,Francis Ford Coppola,Frederic Forrest
The French Lieutenant's Woman,Drama,1981,7.0,13000.0,Karel Reisz,Meryl Streep
The Great Muppet Caper,Adventure,1981,7.2,14000.0,Jim Henson,Jim Henson
True Confessions,Crime,1981,6.3,7500.0,Ulu Grosbard,Robert De Niro
Looker,Drama,1981,6.1,4900.0,Michael Crichton,Albert Finney
Nighthawks,Action,1981,6.4,18000.0,Bruce Malmuth,Sylvester Stallone
Nice Dreams,Comedy,1981,6.2,7100.0,Tommy Chong,Cheech Marin
Sharky's Machine,Action,1981,6.3,5600.0,Burt Reynolds,Burt Reynolds
Neighbors,Comedy,1981,5.6,7600.0,John G. Avildsen,John Belushi
Puberty Blues,Comedy,1981,5.9,1300.0,Bruce Beresford,Nell Schofield
Eye of the Needle,Romance,1981,7.1,9900.0,Richard Marquand,Donald Sutherland
Wolfen,Horror,1981,6.3,9400.0,Michael Wadleigh,Albert Finney
Student Bodies,Comedy,1981,5.5,4400.0,Mickey Rose,Kristen Riter
Prince of the City,Crime,1981,7.5,7600.0,Sidney Lumet,Treat Williams
The Hand,Drama,1981,5.5,5700.0,Oliver Stone,Michael Caine
Continental Divide,Comedy,1981,6.2,4800.0,Michael Apted,John Belushi
Diva,Music,1981,7.2,12000.0,Jean-Jacques Beineix,Wilhelmenia Fernandez
Venom,Horror,1981,5.8,2600.0,Piers Haggard,Klaus Kinski
Fort Apache the Bronx,Crime,1981,6.7,5800.0,Daniel Petrie,Paul Newman
Eyes of a Stranger,Horror,1981,6.0,2400.0,Ken Wiederhorn,Lauren Tewes
Zorro: The Gay Blade,Action,1981,6.2,4100.0,Peter Medak,George Hamilton
Under the Rainbow,Comedy,1981,5.4,2600.0,Steve Rash,Chevy Chase
Carbon Copy,Comedy,1981,5.6,2600.0,Michael Schultz,George Segal
The Incredible Shrinking Woman,Comedy,1981,5.5,4500.0,Joel Schumacher,Lily Tomlin
The Night the Lights Went Out in Georgia,Drama,1981,6.0,891.0,Ron Maxwell,Kristy McNichol
Quartet,Drama,1981,6.3,1300.0,James Ivory,Isabelle Adjani
Graduation Day,Horror,1981,4.9,3600.0,Herb Freed,Christopher George
Modern Problems,Comedy,1981,5.1,4900.0,Ken Shapiro,Chevy Chase
Pennies from Heaven,Drama,1981,6.5,5300.0,Herbert Ross,Steve Martin
American Pop,Animation,1981,7.2,4400.0,Ralph Bakshi,Mews Small
The Legend of the Lone Ranger,Action,1981,5.1,2000.0,William A. Fraker,Klinton Spilsbury
Sphinx,Adventure,1981,5.2,1300.0,Franklin J. Schaffner,Lesley-Anne Down
Night School,Horror,1981,5.6,2400.0,Ken Hughes,Leonard Mann
An Eye for an Eye,Action,1981,5.5,3600.0,Steve Carver,Chuck Norris
Zoot Suit,Drama,1981,6.8,1100.0,Luis Valdez,Daniel Valdez
Rich and Famous,Drama,1981,5.9,1600.0,George Cukor,Jacqueline Bisset
Buddy Buddy,Comedy,1981,6.5,4500.0,Billy Wilder,Jack Lemmon
Bustin' Loose,Comedy,1981,6.1,2900.0,Oz Scott,Richard Pryor
Modern Romance,Comedy,1981,7.0,3600.0,Albert Brooks,Albert Brooks
Heartbeeps,Comedy,1981,4.3,1300.0,Allan Arkush,Andy Kaufman
Back Roads,Adventure,1981,5.6,829.0,Martin Ritt,Sally Field
Take This Job and Shove It,Comedy,1981,5.0,761.0,Gus Trikonis,Robert Hays
Raggedy Man,Drama,1981,6.8,1400.0,Jack Fisk,Sissy Spacek
Whose Life Is It Anyway?,Comedy,1981,7.3,2700.0,John Badham,Richard Dreyfuss
Inchon,Drama,1981,2.7,659.0,Terence Young,Laurence Olivier
All Night Long,Comedy,1981,5.5,1700.0,Jean-Claude Tramont,Gene Hackman
The Pursuit of D.B. Cooper,Adventure,1981,5.6,1100.0,Roger Spottiswoode,Robert Duvall
Rollover,Drama,1981,5.4,1100.0,Alan J. Pakula,Jane Fonda
Only When I Laugh,Comedy,1981,6.5,1300.0,Glenn Jordan,Marsha Mason
Honky Tonk Freeway,Action,1981,5.2,928.0,John Schlesinger,David Rasche
Paternity,Comedy,1981,4.9,920.0,David Steinberg,Burt Reynolds
King of the Mountain,Action,1981,5.5,384.0,Noel Nosseck,Harry Hamlin
Scream,Horror,1981,2.9,674.0,Byron Quisenberry,Pepper Martin
The Devil and Max Devlin,Comedy,1981,5.0,1200.0,Steven Hilliard Stern,Elliott Gould
The Amateur,Crime,1981,5.8,782.0,Charles Jarrott,John Savage
Longshot,Comedy,1981,5.1,101.0,E.W. Swackhamer,Leif Garrett
Comin' at Ya!,Western,1981,5.1,499.0,Ferdinando Baldi,Tony Anthony
Le Pont du Nord,Adventure,1981,6.9,1100.0,Jacques Rivette,Bulle Ogier
Silence of the North,Drama,1981,6.3,228.0,Allan King,Ellen Burstyn
Fast Times at Ridgemont High,Comedy,1982,7.2,98000.0,Amy Heckerling,Sean Penn
Blade Runner,Action,1982,8.1,710000.0,Ridley Scott,Harrison Ford
The Thing,Horror,1982,8.1,382000.0,John Carpenter,Kurt Russell
Conan the Barbarian,Action,1982,6.9,141000.0,John Milius,Arnold Schwarzenegger
E.T. the Extra-Terrestrial,Family,1982,7.8,381000.0,Steven Spielberg,Henry Thomas
First Blood,Action,1982,7.7,234000.0,Ted Kotcheff,Sylvester Stallone
An Officer and a Gentleman,Drama,1982,7.0,52000.0,Taylor Hackford,Richard Gere
Grease 2,Comedy,1982,4.4,34000.0,Patricia Birch,Michelle Pfeiffer
Annie,Comedy,1982,6.6,41000.0,John Huston,Aileen Quinn
Poltergeist,Horror,1982,7.3,148000.0,Tobe Hooper,JoBeth Williams
48 Hrs.,Action,1982,6.9,73000.0,Walter Hill,Nick Nolte
Star Trek II: The Wrath of Khan,Action,1982,7.7,115000.0,Nicholas Meyer,William Shatner
Paradise,Adventure,1982,4.9,2500.0,Stuart Gillard,Willie Aames
The Last American Virgin,Comedy,1982,6.3,8100.0,Boaz Davidson,Lawrence Monoson
Sophie's Choice,Drama,1982,7.6,44000.0,Alan J. Pakula,Meryl Streep
Gandhi,Biography,1982,8.0,220000.0,Richard Attenborough,Ben Kingsley
Tootsie,Comedy,1982,7.4,100000.0,Sydney Pollack,Dustin Hoffman
Tron,Action,1982,6.8,115000.0,Steven Lisberger,Jeff Bridges
The Secret of NIMH,Animation,1982,7.6,37000.0,Don Bluth,Elizabeth Hartman
The King of Comedy,Comedy,1982,7.8,94000.0,Martin Scorsese,Robert De Niro
Rocky III,Drama,1982,6.8,179000.0,Sylvester Stallone,Sylvester Stallone
The Beastmaster,Action,1982,6.2,22000.0,Don Coscarelli,Marc Singer
Creepshow,Comedy,1982,6.9,44000.0,George A. Romero,Hal Holbrook
The Man from Snowy River,Adventure,1982,7.3,8200.0,George Miller,Kirk Douglas
Pink Floyd: The Wall,Drama,1982,8.0,78000.0,Alan Parker,Bob Geldof
Cat People,Fantasy,1982,6.2,20000.0,Paul Schrader,Nastassja Kinski
